Counts_SAQuant_Day_0_1_1	Counts_SAQuant_Day_0_2_1	Counts_SAQuant_Day_0_3_1	Counts_SAQuant_Day_7_1_1	Counts_SAQuant_Day_7_2_1	Counts_SAQuant_Day_7_3_1
LOC105376468	0	1	0	0	0	1
LOC105376480	1	1	2	1	4	3
LOC105376554	89	77	81	86	94	82
LOC105376575	125	103	121	132	137	153
LOC105376599	0	0	0	0	0	0
LOC105376633	0	0	0	0	0	0
LOC105376671	15	13	16	18	21	21
LOC105376731	1	1	2	1	3	1
LOC105376736	15	14	25	16	10	27
LOC105376772	0	2	2	2	1	2
LOC105376805	10	7	14	4	13	6
LOC105376854	0	0	0	0	0	0
LOC105376955	7	10	3	7	9	8
LOC105376975	2	4	0	1	4	2
LOC105376997	4	1	2	2	0	1
LOC105377102	72	46	54	55	53	55
LOC105377105	1143	998	989	728	687	762
LOC105377143	0	0	0	0	0	0
LOC105377146	24	21	12	17	25	20
LOC105377162	0	0	0	0	0	0
LOC105377213	1	1	2	2	0	2
LOC105377245	0	0	0	0	0	0
LOC105377247	0	1	1	0	0	1
LOC105377267	0	0	0	0	0	0
LOC105377348	96	72	98	105	97	110
LOC105377448	0	0	0	2	0	0
LOC105377458	14	11	10	4	10	6
LOC105377480	0	0	0	0	0	0
LOC105377590	3	5	9	4	10	6
LOC105377621	47	45	35	27	41	21
LOC105377623	41	30	37	59	61	55
LOC105377651	0	0	0	0	0	1
LOC105377671	0	0	0	0	0	0
LOC105377682	11	11	14	33	36	48
LOC105377716	0	0	0	0	0	0
LOC105377763	43	35	41	26	42	22
LOC105377879	0	0	0	1	1	0
LOC105377924	118	83	86	14	5	9
LOC105377962	0	0	0	0	0	0
LOC105377967	0	0	0	0	0	0
LOC105377975	4	8	0	11	8	7
LOC105378047	3	5	7	52	69	49
LOC105378052	2	2	0	3	2	1
LOC105378068	1	1	0	0	0	0
LOC105378098	26	27	23	31	30	36
LOC105378123	2	0	0	2	0	1
LOC105378127	1	0	1	0	0	0
LOC105378137	0	0	0	0	0	0
LOC105378146	155	134	141	173	161	167
LOC105378183	0	0	0	0	0	0
LOC105378269	0	0	0	0	0	0
LOC105378292	0	0	0	0	0	0
LOC105378311	2	5	3	0	1	1
LOC105378330	6	5	2	5	3	3
LOC105378349	0	0	0	0	0	0
LOC105378367	0	0	0	0	0	0
LOC105378385	6	10	9	4	6	3
LOC105378397	0	0	0	0	0	0
LOC105378430	0	0	0	0	0	0
LOC105378470	0	0	1	2	0	2
LOC105378591	0	0	2	0	1	1
LOC105378614	0	0	0	0	1	0
LOC105378663	9	12	12	20	24	20
LOC105378683	32	39	34	32	28	27
LOC105378732	9	17	9	9	15	17
LOC105378828	57	54	36	36	29	23
LOC105378853	102	89	79	105	86	95
LOC105378933	1	6	2	0	3	3
LOC105379030	0	0	0	0	0	0
LOC105379054	1	0	0	6	5	4
LOC105379143	43	30	39	59	67	54
LOC105379176	3	2	2	2	4	4
LOC105379183	7	6	4	4	9	10
LOC105379192	0	0	0	0	0	0
LOC105379194	2	2	5	2	2	4
LOC105379252	24	26	24	9	10	15
LOC105379393	2	5	2	0	3	1
LOC105379450	2	1	0	1	3	1
LOC105379511	3	0	0	0	0	0
LOC105379514	21	19	19	26	30	45
LOC105379550	5	0	0	0	1	0
LOC105447645	66	63	56	60	75	89
LOC105447648	1	0	0	0	0	0
LOC105616981	4	9	3	1	3	3
LOC105667213	0	0	0	0	0	0
LOC105747689	142	88	87	131	136	177
LOC105748977	1	0	0	2	0	0
LOC105755953	0	3	2	3	5	0
LOC106660606	9	11	8	16	14	14
LOC106699570	72	67	69	107	92	92
LOC106780825	102	95	96	24	44	44
LOC107001062	6	4	3	0	1	1
LOC107133515	2778	2309	2172	2334	2350	2540
LOC107161159	0	0	0	0	0	0
LOC107546764	0	1	0	0	0	2
LOC115110	5	4	2	13	13	8
LOC143666	691	591	592	359	379	394
LOC145474	9	6	6	10	11	9
LOC145694	150	120	113	156	158	147
LOC145783	178	146	167	178	199	220
LOC145845	0	2	0	3	2	1
LOC146513	0	0	0	0	0	0
LOC146795	6	8	7	5	4	9
LOC146880	3139	2848	2476	1966	2180	2170
LOC148413	1185	1022	1004	1064	1078	1145
LOC148696	28	19	17	26	45	31
LOC148709	119	92	78	55	79	69
LOC149373	0	0	0	1	1	0
LOC149684	0	0	0	0	0	0
LOC149950	2	0	0	6	2	6
LOC150051	116	113	123	25	21	37
LOC150776	2702	2341	2298	2368	2557	2632
LOC150935	33	36	35	33	40	31
LOC151121	2	2	1	6	4	3
LOC151174	12	16	22	39	23	25
LOC151475	95	67	76	27	41	39
LOC151484	1	1	1	0	1	1
LOC152225	268	231	221	58	45	58
LOC152274	0	0	0	0	0	1
LOC153684	167	136	135	427	443	495
LOC153910	20	11	18	38	25	29
LOC154449	0	0	0	0	0	0
LOC154761	92	113	87	59	60	62
LOC155060	316	261	238	401	429	386
LOC157273	204	153	186	220	166	194
LOC158434	4	3	9	7	7	10
LOC158435	21	34	25	45	45	55
LOC171391	124	130	121	131	134	117
LOC1720	0	0	0	0	0	0
LOC200726	0	1	0	0	0	0
LOC200772	8	5	7	5	4	4
LOC202181	2	2	5	5	4	5
LOC220729	1118	940	953	1006	1057	1158
LOC221122	3	3	7	1	3	2
LOC221946	130	125	102	137	141	118
LOC253573	0	0	0	0	0	0
LOC254028	17	12	15	11	12	16
LOC254896	323	269	227	500	591	607
LOC255187	5	8	5	6	6	3
LOC255654	80	85	73	61	78	76
LOC256880	12	8	6	16	16	15
LOC257396	803	672	694	833	857	910
LOC283028	1819	1530	1581	2337	2402	2594
LOC283038	11	9	14	9	9	11
LOC283045	155	154	122	173	189	190
LOC283140	114	99	68	62	102	97
LOC283177	62	46	35	44	43	50
LOC283194	5	5	2	4	6	2
LOC283214	3	5	3	8	9	5
LOC283299	40	42	56	34	40	56
LOC283332	0	0	0	0	0	0
LOC283335	615	578	498	336	403	391
LOC283352	89	55	56	77	63	81
LOC283440	0	1	1	0	3	2
LOC283575	273	228	203	194	221	213
LOC283585	41	31	30	30	47	45
LOC283683	1	4	2	0	0	2
LOC283710	0	0	0	0	0	0
LOC283731	8	12	4	9	8	15
LOC283856	29	19	25	44	43	35
LOC283887	49	31	23	49	42	41
LOC283922	297	245	274	403	413	472
LOC284009	15	23	15	30	28	30
LOC284023	373	360	321	356	390	439
LOC284080	261	202	205	215	244	223
LOC284241	0	0	1	0	0	1
LOC284294	3	0	2	2	1	0
LOC284344	3	9	3	4	4	4
LOC284379	82	65	74	66	60	83
LOC284395	36	23	26	29	31	36
LOC284412	1141	988	962	1106	1095	1214
LOC284454	1172	1007	968	990	1000	1069
LOC284578	299	251	217	143	136	133
LOC284581	760	695	689	570	551	592
LOC284632	70	56	62	63	63	81
LOC284648	0	0	0	0	1	2
LOC284661	0	1	0	3	1	1
LOC284788	1	1	0	0	0	0
LOC284798	2	3	3	4	4	3
LOC284825	86	76	90	46	54	41
LOC284865	41	42	51	37	41	49
LOC284898	0	0	0	2	0	0
LOC284930	135	112	116	133	126	138
LOC284933	0	0	0	0	0	0
LOC284950	61	47	47	71	59	51
LOC285000	78	59	62	47	46	51
LOC285043	0	0	1	0	0	0
LOC285074	861	788	721	560	615	616
LOC285095	4	4	2	9	7	9
LOC285389	7	3	4	4	1	6
LOC285484	9	5	11	17	16	15
LOC285593	14	12	9	13	6	11
LOC285626	95	86	73	39	44	32
LOC285627	22	24	25	19	17	17
LOC285629	25	20	18	21	27	22
LOC285692	19	18	13	2	10	5
LOC285696	607	549	498	440	421	429
LOC285762	29	36	23	19	18	26
LOC285766	0	0	0	1	1	0
LOC285804	0	0	0	0	0	0
LOC285819	15	8	13	12	13	8
LOC285847	10	6	10	12	10	13
LOC285889	32	31	26	35	37	35
LOC286059	33	24	38	6	14	13
LOC286083	0	0	0	0	0	0
LOC286114	14	5	15	24	28	21
LOC286177	51	38	35	46	57	56
LOC286178	1	0	0	1	0	0
LOC286238	0	0	0	0	0	0
LOC286297	17	25	21	33	11	19
LOC286359	72	51	71	72	80	71
LOC286437	753	693	642	761	702	825
LOC338694	1	3	1	3	2	5
LOC338797	0	0	0	0	0	0
LOC338963	1	0	0	0	0	0
LOC339059	23	23	16	18	26	29
LOC339166	135	101	82	46	77	42
LOC339260	210	152	144	154	138	172
LOC339298	2	1	1	4	3	3
LOC339529	0	1	3	0	1	1
LOC339539	201	193	155	137	130	148
LOC339568	0	0	0	0	0	0
LOC339593	2	2	4	6	4	3
LOC339622	5	2	4	3	1	3
LOC339666	29	21	19	12	11	9
LOC339803	1537	1319	1245	870	902	982
LOC339807	14	8	9	2	3	3
LOC339862	2	4	4	4	3	0
LOC339874	33	19	29	33	40	33
LOC339975	214	181	173	193	202	211
LOC339978	63	53	51	39	55	54
LOC340017	33	20	25	24	26	25
LOC340074	0	0	0	0	0	0
LOC340090	20	21	26	23	13	25
LOC340107	1	1	0	1	5	3
LOC340113	3	1	1	0	0	2
LOC340357	0	0	0	0	0	0
LOC340512	9	7	3	10	9	10
LOC340581	2	0	1	3	0	3
LOC341056	0	0	0	0	0	0
LOC343052	1	2	0	1	0	1
LOC344887	20	28	20	32	32	43
LOC344967	41	22	19	23	14	25
LOC349160	46	34	35	28	30	23
LOC374443	1023	850	815	333	354	348
LOC374890	3	1	7	1	8	3
LOC375196	29	23	22	30	21	29
LOC387810	0	0	0	0	0	0
LOC388242	52	39	42	12	14	16
LOC388282	6	11	9	0	3	1
LOC388406	4	4	4	6	6	5
LOC388436	39	31	26	37	41	39
LOC388692	165	161	172	288	248	213
LOC388780	0	0	0	0	0	0
LOC388813	5	4	2	4	4	1
LOC388882	31	37	23	77	96	77
LOC388942	13	13	11	13	5	9
LOC389033	0	0	0	0	0	0
LOC389199	0	5	3	2	2	3
LOC389247	63	73	71	51	51	59
LOC389273	0	0	0	1	0	0
LOC389332	3	1	0	1	1	6
LOC389602	1	1	0	0	0	0
LOC389641	881	785	785	267	270	275
LOC389705	41	31	40	47	27	48
LOC389765	102	102	89	81	77	102
LOC389895	0	0	0	0	0	0
LOC389906	1200	1140	1072	1103	1172	1216
LOC390705	5	4	6	2	5	5
LOC390877	0	0	0	0	0	1
LOC391322	176	130	125	103	122	109
LOC392196	0	0	0	0	0	0
LOC392232	6	5	2	4	12	4
LOC392364	0	0	0	0	0	0
LOC392452	4	2	1	0	0	0
LOC399715	54	47	55	34	34	41
LOC399815	86	88	91	34	38	35
LOC399886	9	7	5	5	3	9
LOC400002	1460	1218	1132	927	1008	1040
LOC400043	8	7	17	13	12	21
LOC400464	10	7	14	8	11	21
LOC400541	0	1	0	0	0	1
LOC400548	68	62	66	78	60	76
LOC400553	0	0	0	0	0	0
LOC400558	0	0	0	0	0	0
LOC400620	0	0	1	0	0	0
LOC400655	742	642	636	488	454	493
LOC400661	73	49	47	33	46	51
LOC400684	62	47	48	39	43	48
LOC400685	193	145	145	215	218	232
LOC400706	220	176	182	301	277	278
LOC400794	13	6	4	6	18	11
LOC400867	3	4	4	3	3	1
LOC400927	93	67	60	39	71	58
LOC400940	0	0	1	0	0	0
LOC400958	43	55	35	47	56	44
LOC400997	10	7	7	11	18	20
LOC401052	45	54	40	79	66	69
LOC401127	28	21	32	19	9	18
LOC401134	3	2	2	3	5	9
LOC401177	13	10	12	7	7	4
LOC401261	137	118	113	128	140	148
LOC401286	0	0	0	0	0	0
LOC401312	4	1	2	2	4	4
LOC401320	714	574	560	1288	1290	1365
LOC401324	223	181	166	193	147	179
LOC401357	2	5	3	3	2	1
LOC401442	0	0	0	0	0	0
LOC401463	0	0	2	12	14	12
LOC401554	76	88	65	78	83	60
LOC401557	68	77	74	62	64	65
LOC401585	13	21	13	8	6	4
LOC403312	140	132	90	136	148	154
LOC403323	25	19	13	27	38	29
LOC407835	0	0	0	0	1	0
LOC414300	7	14	12	12	12	13
LOC439933	9	10	10	15	7	5
LOC440028	91	95	67	97	102	92
LOC440040	21	14	21	10	13	23
LOC440117	0	0	0	0	0	0
LOC440173	618	538	458	357	354	384
LOC440300	559	510	452	449	499	539
LOC440311	1	1	1	0	0	1
LOC440390	50	58	46	60	36	54
LOC440434	1588	1357	1294	1341	1409	1468
LOC440446	82	69	58	73	82	63
LOC440461	126	148	105	44	39	43
LOC440570	56	64	62	62	54	74
LOC440600	46	36	42	36	48	38
LOC440602	0	0	0	0	0	0
LOC440700	7	11	9	6	9	5
LOC440704	5	3	4	2	1	5
LOC440895	0	0	0	0	0	0
LOC440896	194	201	136	111	137	110
LOC440910	370	277	242	287	292	327
LOC440934	97	78	95	197	151	169
LOC440982	1	1	0	2	0	0
LOC441025	18	4	11	6	19	15
LOC441052	0	0	0	0	0	0
LOC441081	247	184	192	268	271	303
LOC441086	4	3	1	2	2	1
LOC441155	26	28	26	48	48	35
LOC441178	2	0	1	1	1	1
LOC441204	3	8	7	16	13	15
LOC441242	419	365	306	355	390	430
LOC441454	96	87	82	123	107	144
LOC441455	177	127	119	197	183	184
LOC441601	0	0	0	0	0	0
LOC441666	1290	1055	1080	632	601	643
LOC442028	278	219	250	359	384	365
LOC442132	1	1	0	3	4	3
LOC442497	33	44	32	11	12	12
LOC494127	1	1	0	1	0	1
LOC494141	148	139	135	118	122	124
LOC51145	2	4	0	0	3	5
LOC541472	14	11	7	12	18	16
LOC541473	143	110	104	137	184	222
LOC550113	3	2	0	1	1	0
LOC553103	120	89	80	65	71	80
LOC55338	842	734	734	687	722	779
LOC554206	45	41	50	48	44	61
LOC554223	282	230	216	50	49	49
LOC554249	198	4	166	0	0	124
LOC574538	1	0	0	2	0	0
LOC606724	39	32	28	20	18	22
LOC613037	780	704	666	702	719	721
LOC613038	52	39	42	12	14	16
LOC613266	17	11	7	11	12	10
LOC63930	0	0	0	0	0	0
LOC641367	44	29	50	36	28	40
LOC641746	0	2	2	0	1	0
LOC642131	16	15	14	26	32	22
LOC642361	159	132	127	199	198	208
LOC642366	10	14	12	53	62	59
LOC642423	120	101	103	50	47	33
LOC642426	0	2	5	3	5	4
LOC642643	178	135	140	319	277	305
LOC642846	1139	1040	961	542	583	638
LOC642852	2189	1859	1733	3311	3692	3778
LOC642929	12	17	13	20	23	19
LOC642943	352	316	302	384	374	411
LOC643072	78	107	104	161	167	181
LOC643201	43	53	57	36	49	71
LOC643339	32	27	28	24	12	17
LOC643355	2	2	1	0	0	0
LOC643387	2	4	3	2	4	6
LOC643406	432	394	385	485	494	532
LOC643441	7	10	12	6	4	2
LOC643542	3	0	0	1	2	1
LOC643623	14	3	5	4	10	2
LOC643711	25	23	28	24	30	32
LOC643733	1	1	0	5	8	12
LOC643770	48	43	42	40	40	28
LOC643802	10	10	5	2	4	2
LOC643923	10	7	3	11	5	9
LOC644145	0	0	0	0	0	0
LOC644172	43	45	35	65	64	52
LOC644189	5	5	6	9	4	6
LOC644285	217	172	183	236	226	255
LOC644554	117	104	102	81	82	103
LOC644656	144	123	127	103	115	110
LOC644669	220	173	202	204	164	191
LOC644762	0	0	0	0	0	0
LOC644794	512	460	429	277	271	283
LOC644838	12	5	7	5	8	5
LOC644919	206	242	177	173	241	205
LOC644936	10	5	7	3	0	4
LOC645166	472	365	383	417	427	476
LOC645177	0	0	3	1	7	2
LOC645188	1	0	0	0	0	0
LOC645485	8	5	4	1	1	1
LOC645513	552	476	471	355	387	422
LOC645553	135	76	120	140	111	127
LOC645752	0	4	3	0	2	0
LOC645949	0	2	3	5	5	2
LOC645967	10	6	9	2	4	7
LOC646029	192	155	147	137	116	136
LOC646214	839	751	737	938	863	922
LOC646241	3	4	6	0	2	2
LOC646268	0	0	0	0	0	0
LOC646471	366	322	299	545	573	622
LOC646522	0	0	0	0	0	0
LOC646548	43	50	36	35	35	54
LOC646626	42	40	24	15	16	21
LOC646730	2	0	6	19	17	10
LOC646736	2	7	6	6	4	3
LOC646743	0	0	0	0	0	0
LOC646762	868	775	732	801	777	890
LOC646813	1	0	1	3	1	4
LOC646903	111	91	92	148	162	175
LOC646938	3	2	3	10	14	9
LOC647323	14	14	5	1	5	5
LOC647859	80	55	53	63	65	67
LOC648987	119	115	97	248	216	240
LOC649133	0	0	0	0	0	0
LOC649352	0	0	0	0	0	0
LOC650226	6	3	3	3	4	0
LOC650293	15	14	8	17	6	14
LOC652276	589	537	516	497	538	577
LOC653160	89	66	55	122	138	107
LOC653602	525	457	418	110	151	118
LOC653653	181	236	244	224	159	210
LOC653712	67	55	67	40	42	63
LOC653786	6	4	6	8	8	7
LOC654342	1107	981	920	904	966	1007
LOC654841	86	76	86	100	81	100
LOC727751	637	476	339	272	250	382
LOC727896	86	76	74	78	80	87
LOC727924	0	0	0	0	0	0
LOC727993	0	0	0	0	0	0
LOC728024	143	127	106	107	123	115
LOC728040	0	1	2	3	2	2
LOC728084	1	5	3	4	2	1
LOC728095	0	0	0	0	0	0
LOC728175	15	21	12	8	15	15
LOC728290	0	0	0	0	0	0
LOC728323	167	152	138	180	163	161
LOC728392	862	731	663	831	936	996
LOC728485	614	583	509	443	457	457
LOC728554	3605	3321	3069	1900	1868	1964
LOC728613	295	277	257	468	547	546
LOC728673	274	274	213	370	381	379
LOC728730	602	561	487	324	318	336
LOC728739	0	0	0	0	0	0
LOC728743	221	223	201	170	169	172
LOC728752	352	312	270	277	308	308
LOC728989	9	3	15	12	14	16
LOC729080	6	4	2	0	1	0
LOC729083	464	414	350	231	219	261
LOC729159	0	0	0	0	0	0
LOC729218	2892	2578	2419	3127	3230	3364
LOC729224	1	2	3	3	2	7
LOC729296	0	0	0	0	0	0
LOC729307	5	8	5	6	12	9
LOC729348	4543	3852	3584	4266	4527	4665
LOC729461	100	91	84	40	29	27
LOC729506	8	6	3	9	8	11
LOC729603	78	53	64	122	123	114
LOC729609	87	49	50	73	85	91
LOC729652	81	76	60	62	75	78
LOC729683	84	55	51	94	98	114
LOC729732	300	249	217	284	281	304
LOC729737	6157	5426	4857	4363	4701	4527
LOC729739	31	31	33	23	25	23
LOC729815	0	0	1	0	0	0
LOC729867	26	27	17	68	60	88
LOC729870	40	37	35	11	16	14
LOC729930	1	0	1	0	1	0
LOC729950	0	0	0	0	0	0
LOC729966	10	1	6	0	0	0
LOC729970	19	7	8	30	40	22
LOC729987	298	242	260	285	287	334
LOC730098	187	185	170	105	112	118
LOC730100	19	10	17	15	22	19
LOC730101	1022	881	832	620	634	657
LOC730102	379	331	335	394	387	434
LOC730159	0	0	0	0	0	0
LOC730183	72	81	86	63	78	77
LOC730202	113	99	83	50	65	70
LOC730338	668	593	603	333	371	371
LOC730668	55	40	44	88	59	72
LOC731157	8	9	10	5	4	8
LOC79160	22	24	18	40	33	46
LOC79999	39	31	26	37	41	39
LOC81691	521	429	404	236	237	252
LOC90246	165	143	123	150	130	175
LOC90768	387	314	295	349	347	419
LOC90784	835	802	703	770	710	822
LOC91450	1	2	0	4	2	1
LOC93429	5	1	0	0	1	0
LOC93463	12	6	12	12	8	6
LOC93622	6634	6106	5859	3317	3489	3558
LOH12CR2	50	43	60	58	69	65
LONP1	4899	4288	4123	3843	3890	4119
LONP2	5719	4760	4744	3901	4078	4254
LONRF1	454	367	372	229	258	240
LONRF2	114	108	102	184	201	189
LONRF3	778	686	650	592	607	650
LOR	0	0	0	0	0	0
LOX	131	133	122	554	615	600
LOXHD1	0	0	0	0	0	0
LOXL1	53	47	42	17	10	16
LOXL2	7551	6944	6369	4027	4251	4512
LOXL3	537	506	435	712	747	773
LOXL4	29	25	18	75	84	88
LPA	2	1	6	17	10	31
LPAL2	49	39	51	100	109	90
LPAR1	984	884	861	457	489	463
LPAR2	275	248	212	99	101	141
LPAR3	4	5	1	3	1	5
LPAR4	18	14	14	36	38	24
LPAR5	29	37	37	4	6	8
LPAR6	42	38	33	26	21	30
LPCAT1	27389	24034	22838	7785	7886	8235
LPCAT2	4886	4424	4064	5292	5707	5857
LPCAT3	1825	1583	1528	1061	979	1097
LPCAT4	2769	2537	2243	2213	2280	2344
LPGAT1	5648	5036	4756	4971	5315	5289
LPIN1	7627	6598	6335	3360	3403	3706
LPIN2	8176	7062	6658	5136	5197	5534
LPIN3	1473	1320	1151	1731	1785	1762
LPL	11	9	10	16	9	6
LPO	2	0	0	3	3	4
LPP	8551	7389	7087	6080	6250	6633
LPXN	293	227	236	222	221	259
LRAT	630	529	516	264	314	236
LRBA	21701	18370	18379	9898	9825	10767
LRCH1	1521	1317	1301	1149	1107	1090
LRCH2	1	3	3	1	4	3
LRCH3	968	807	813	1043	1046	1122
LRCH4	4001	3591	3215	2683	2888	2911
LRCOL1	3	4	2	18	10	21
LRFN1	124	128	101	131	125	162
LRFN2	0	0	0	0	0	0
LRFN3	279	303	275	321	350	360
LRFN4	2619	2319	2070	2155	2258	2220
LRFN5	4	3	0	36	24	30
LRG1	627	530	511	110	115	93
LRGUK	22	16	17	26	33	34
LRIF1	3128	2666	2501	2578	2663	2613
LRIG1	354	300	276	480	485	499
LRIG2	1225	1049	989	1218	1309	1286
LRIG3	1272	1031	1053	1348	1419	1446
LRIT1	0	0	0	0	0	0
LRIT2	0	0	0	0	0	0
LRIT3	12	19	15	14	17	9
LRMP	17	10	18	17	16	19
LRP1	2990	2600	2398	6896	7161	7646
LRP10	16073	14051	12913	12681	13236	13806
LRP11	3238	2748	2720	2492	2548	2600
LRP12	3569	3108	3101	3794	3911	4008
LRP1B	45	28	30	44	35	40
LRP2	320	291	301	258	255	299
LRP2BP	89	97	87	95	108	131
LRP3	2	3	2	24	26	25
LRP4	83	76	66	6	7	6
LRP5	12889	11536	10485	12012	12481	13245
LRP5L	1341	1110	1147	1510	1585	1723
LRP6	3523	3030	3025	3286	3412	3607
LRP8	4435	3870	3710	1716	1694	1829
LRPAP1	11513	10200	9320	10231	10818	11061
LRPPRC	17630	15147	14989	14310	13625	15242
LRR1	2404	2038	2023	1169	1138	1281
LRRC1	2136	1776	1713	835	868	834
LRRC10	17	16	13	11	6	16
LRRC10B	472	446	399	433	401	426
LRRC14	3527	3255	3175	3052	3150	3300
LRRC14B	4	4	1	6	10	1
LRRC15	0	2	0	3	3	0
LRRC17	15	5	9	9	12	9
LRRC18	1	4	3	4	2	0
LRRC19	88	84	75	100	109	108
LRRC2	82	79	76	90	81	85
LRRC20	1408	1200	1175	519	551	545
LRRC23	361	282	285	357	367	341
LRRC24	2	3	4	11	15	15
LRRC25	77	78	70	71	98	94
LRRC26	36	43	43	16	19	22
LRRC27	339	282	287	353	347	346
LRRC28	504	349	410	460	388	461
LRRC29	46	53	54	64	70	79
LRRC3	172	144	139	191	202	226
LRRC30	0	0	0	0	0	0
LRRC31	0	1	0	0	0	0
LRRC32	11	22	15	135	150	168
LRRC34	13	9	5	13	12	25
LRRC36	11	13	14	34	38	38
LRRC37A	582	535	535	481	518	543
LRRC37A11P	41	31	26	25	25	33
LRRC37A2	1821	1580	1642	1597	1521	1690
LRRC37A3	519	415	357	475	493	529
LRRC37A4P	1550	1313	1327	1728	1743	1926
LRRC37A5P	0	0	0	0	0	2
LRRC37A6P	248	171	178	199	192	206
LRRC37A8P	577	490	527	197	213	190
LRRC37B	691	544	558	628	635	638
LRRC38	9	6	10	8	5	5
LRRC39	123	114	130	138	139	164
LRRC3B	47	45	29	13	23	26
LRRC3C	0	0	0	0	0	1
LRRC4	154	124	118	86	77	98
LRRC40	2545	2182	2118	1707	1664	1745
LRRC41	4791	4212	4047	4312	4213	4553
LRRC42	2119	1778	1812	1310	1266	1400
LRRC43	12	21	8	7	10	16
LRRC45	2425	2253	2058	1342	1278	1346
LRRC46	43	53	33	33	32	31
LRRC47	3128	2774	2673	2708	2825	2868
LRRC49	413	380	367	354	393	452
LRRC4B	60	46	35	59	54	62
LRRC4C	0	1	0	5	6	4
LRRC52	0	0	0	0	0	0
LRRC55	0	0	0	0	1	1
LRRC56	1700	1464	1247	600	653	655
LRRC57	888	741	741	776	792	900
LRRC58	4875	4270	4368	4743	4818	4860
LRRC59	8426	7381	7327	5483	5400	5867
LRRC6	28	20	21	23	24	15
LRRC61	852	745	636	418	414	456
LRRC63	9	10	11	28	15	22
LRRC66	90	80	91	120	141	146
LRRC69	248	193	193	164	184	194
LRRC7	17	11	16	187	264	243
LRRC70	8	12	15	23	6	9
LRRC71	0	0	0	1	1	1
LRRC72	0	0	0	0	0	0
LRRC73	17	9	18	9	13	10
LRRC74A	0	0	0	1	0	0
LRRC74B	112	73	72	94	81	114
LRRC75A	159	128	133	191	164	192
LRRC75B	127	94	104	366	433	463
LRRC8A	19454	16934	15594	6551	6571	6840
LRRC8B	1946	1721	1720	809	769	865
LRRC8C	315	287	270	323	334	349
LRRC8D	2533	2062	2081	1824	1852	1968
LRRC8E	742	675	567	249	260	262
LRRC9	111	102	103	165	158	193
LRRCC1	3327	2954	2782	1900	1758	1990
LRRD1	15	14	9	20	13	17
LRRFIP1	10400	9158	8580	5485	5707	5830
LRRFIP2	3034	2524	2520	1671	1780	1831
LRRIQ1	146	133	138	86	100	77
LRRIQ3	38	44	45	15	16	11
LRRIQ4	1	3	0	0	0	0
LRRK1	576	473	539	1142	1142	1187
LRRK2	23	19	14	103	115	119
LRRN1	996	878	796	511	514	531
LRRN2	30	26	19	108	90	127
LRRN3	19	15	18	142	122	113
LRRN4	49	39	39	17	15	12
LRRN4CL	45	29	38	63	54	59
LRRTM1	0	0	0	0	0	0
LRRTM2	12	10	9	10	8	10
LRRTM3	0	0	0	1	0	0
LRRTM4	3	3	1	14	17	6
LRSAM1	2722	2434	2226	2515	2557	2637
LRTM1	0	1	0	0	0	0
LRTM2	0	0	0	0	0	0
LRTOMT	874	760	711	674	697	750
LRWD1	1440	1376	1202	1076	1110	1100
LSAMP	66	48	47	208	194	209
LSG1	3778	3363	3168	2790	2881	2955
LSM1	2947	2529	2399	1878	1873	2081
LSM10	1140	1057	971	790	791	820
LSM11	1278	1073	1086	844	815	916
LSM12	5214	4373	4249	2893	2821	2985
LSM14A	7144	6529	5879	5247	5480	5486
LSM14B	3797	3305	3121	2848	2798	3002
LSM2	1940	1715	1657	927	930	1048
LSM3	3628	3039	2830	1853	1809	1979
LSM4	6382	5660	5313	2539	2599	2700
LSM5	3134	2875	2626	1721	1664	1679
LSM6	1355	1137	1084	918	882	918
LSM7	2624	2511	2200	1561	1704	1708
LSM8	2825	2304	2206	1962	1991	2076
LSMEM1	190	158	162	173	159	209
LSMEM2	2	7	4	4	4	2
LSP1	96	77	72	201	185	180
LSP1P3	0	0	0	0	0	0
LSR	8513	7560	6939	2124	2206	2235
LSS	8804	7731	7037	4483	4711	5045
LST1	1	7	0	0	1	2
LTA	8	8	12	6	9	11
LTA4H	8950	7627	7354	4677	4645	5059
LTB	3	7	8	2	2	3
LTB4R	1903	1727	1504	2774	2917	2891
LTB4R2	514	490	431	753	848	856
LTBP1	1258	1128	1178	1336	1353	1531
LTBP2	1959	1800	1627	2512	2594	2686
LTBP3	20995	19204	16919	27270	29850	29536
LTBP4	6229	5590	4831	9026	9764	9663
LTBR	2968	2611	2465	2155	2261	2325
LTC4S	32	45	37	7	11	8
LTF	3	2	1	9	7	10
LTK	24	16	12	74	77	75
LTN1	4140	3531	3482	3324	3236	3516
LTV1	1997	1808	1605	1204	1215	1202
LUADT1	7	2	5	8	4	9
LUC7L	1650	1506	1440	1970	2077	2208
LUC7L2	4684	4210	4285	3910	3999	4280
LUC7L3	14346	12990	11952	14369	15595	15739
LUCAT1	338	326	270	114	119	144
LUM	114	97	109	1551	1623	1732
LUNAR1	2	0	1	3	1	1
LURAP1	35	30	27	37	25	27
LURAP1L	410	376	310	189	194	174
LUZP1	6032	4987	5133	5496	5272	5731
LUZP2	20	24	25	34	37	33
LUZP4	0	0	1	0	0	0
LUZP6	6155	5505	5332	4609	4605	4870
LVCAT1	68	50	50	32	37	40
LVCAT5	27	35	29	34	33	28
LVCAT8	23	17	17	20	14	23
